league,info,,,,
IND DSD ,no,,,,
IND GC,no,,,,
IND GoaPL ,no,,,,
IND KLW,no,,,,
IND KPL  ,no,,,,
IND MizPL  ,no,,,,
IND RAD ,no,,,,
IND RC,no,,,,
IND SPL   ,no,,,,
IND U20,no,,,,
IND WL,no,,,,
IND-G PL,no,,,,
INDSC  ,no,,,,
ING,no,,,,
INGW,no,,,,
INT CF,no,,,,
INT DCUP ,no,,,,
INT FRL,no,,,,
IRD MSC ,no,,,,
IRD WC ,no,,,,
IRE D1 ,irl_first-division,,,,
IRE MCUP,no,,,,
IRE PR  ,irl_premier-division,,,,
IRE U19,no,,,,
IRE U20,no,,,,
IREC U19,no,,,,
IRN D1,no,,,,
IRN D2,no,,,,
IRN PR,no,,,,
IRQ C     ,no,,,,
IRQ D1 ,no,,,,
IRQ D1off ,no,,,,
IRQ D2 ,no,,,,
IS-CUP ,no,,,,
ISCW   ,no,,,,
ISL,no,,,,
ISR CL,no,,,,
ISR CUP      ,no,,,,
ISR D1 ,isr_ligat-haal,,,,
ISR D1CG   ,isr_ligat-haal_championship,,,,
ISR D1RF ,isr_ligat-haal_relegation,,,,
ISR D2,no,,,,
ISR D2PPO,no,,,,
ISR D2RF ,no,,,,
ISR D3N ,no,,,,
ISR D3RF ,no,,,,
ISR D3S   ,no,,,,
ISR D3UQF ,no,,,,
ISR LA,no,,,,
ISR LAN,no,,,,
ISR LAS,no,,,,
ISR LATTC,no,,,,
ISR LLTTC,no,,,,
ISR U19 ,no,,,,
ISR W1,no,,,,
ISR W1CG ,no,,,,
ISR W1R      ,no,,,,
ISR WC,no,,,,
ISS   ,no,,,,
ITA C1A,ita_serie-c-girone-a,,,,
ITA C1B ,ita_serie-c-girone-b,,,,
ITA C1C ,ita_serie-c-girone-c,,,,
ITA C1off,ita_serie-c_playoff,,,,
ITA Cup  ,no,,,,
ITA D1  ,ita_serie-a,,,,
ITA D2 ,ita_serie-b,,,,
ITA D2off ,ita_serie-b_pro-playoff,,,,
ITA PC,no,,,,
ITA PRO LC,no,,,,
ITA S4,no,,,,
ITA S4 CUP,no,,,,
ITA SC ,no,,,,
ITA SC W,no,,,,
ITA YCup,no,,,,
ITA YL BA  ,no,,,,
ITA YL BB,no,,,,
ITA YL BUF,no,,,,
ITA YTHL  ,no,,,,
ITA YTHLP1,no,,,,
ITASYC,no,,,,
IW Cup,no,,,,
IWD1,no,,,,
IWD1CG  ,no,,,,
IWD1RF ,no,,,,
IWD1off,no,,,,
